Threads	Rodinia_Origin
1	8.380450
2	4.341222
4	2.617423
8	1.476083
16	0.895143
32	0.655810
64	0.515296
Threads	Rodinia_SIMD
1	8.197837
2	4.249228
4	2.389932
8	1.393301
16	0.846150
32	0.623285
64	0.545930
Threads	Inspector-Executor_Sequential
1	13.249304
2	7.986249
4	7.306334
8	12.460400
16	19.835877
32	18.280620
64	20.327546
