Threads Rodinia_Origin
1 72.720401
2 37.607138
4 19.911917
8 11.052941
16 8.110533
32 5.310993
64 4.038606
Threads Rodinia_SIMD
1 89.005864
2 45.771188
4 23.589937
8 12.435442
16 6.962686
32 4.402206
64 3.717362
Threads I/E_Seq
1 65.011271
2 44.235353
4 33.360011
8 28.453005
16 26.442125
32 25.743531
64 26.044566
