Threads	Rodinia_Origin
1	0.052148
2	0.042923
4	0.039068
8	0.039798
16	0.042418
32	0.044417
64	0.056996
Threads	Rodinia_SIMD
1	0.030253
2	0.030758
4	0.031018
8	0.034481
16	0.034714
32	0.044469
64	0.059168
Threads	Inspector-Executor_Sequential
1	0.028703
2	0.029635
4	0.030788
8	0.035459
16	0.039202
32	0.047879
64	0.062792
