Threads Rodinia_Origin
1 0.058164
2 0.043515
4 0.044725
8 0.037798
16 0.053858
32 0.054190
64 0.067213
Threads Rodinia_SIMD
1 0.035623
2 0.031568
4 0.032305
8 0.031952
16 0.034632
32 0.041316
64 0.053991
Threads I/E_Seq
1 0.031557
2 0.035026
4 0.033955
8 0.032578
16 0.034254
32 0.043581
64 0.053753
