Threads	Rodinia_Origin
1	8.372920
2	4.361205
4	2.572716
8	1.476698
16	0.896945
32	0.665860
64	0.503561
Threads	Rodinia_SIMD
1	8.150422
2	4.274358
4	2.300984
8	1.384816
16	0.829856
32	0.597989
64	0.550174
Threads	Inspector-Executor_Sequential
1	13.160342
2	7.381227
4	7.291687
8	13.697600
16	15.450432
32	18.142368
64	20.173410
