Threads Rodinia_Origin
1	8.429085
2	4.366305
4	2.579423
8	1.489686
16	0.937952
32	0.615723
64	0.540426
Threads Rodinia_SIMD
1	8.135599
2	4.205972
4	2.344913
8	1.533738
16	0.871238
32	0.642315
64	0.568441
Threads ins_exe_seq
1	13.999158
2	11.006776
4	9.651471
8	9.011136
16	8.625036
32	8.518726
64	8.681955
