Threads	Rodinia_Origin
1	0.051649
2	0.048383
4	0.050714
8	0.041347
16	0.041023
32	0.045569
64	0.054478
Threads	Rodinia_SIMD
1	0.031508
2	0.033636
4	0.039925
8	0.034283
16	0.040154
32	0.043079
64	0.053208
Threads	Inspector-Executor_Sequential
1	0.028740
2	0.029399
4	0.031191
8	0.035148
16	0.039031
32	0.045257
64	0.059953
