Threads	Rodinia_Origin
1	73.607543
2	37.099191
4	20.370185
8	11.121157
16	6.648208
32	4.535639
64	4.079770
Threads	Rodinia_SIMD
1	89.688935
2	46.090481
4	23.803650
8	12.784093
16	7.371405
32	4.739221
64	3.940353
Threads	Inspector-Executor_Sequential
1	131.148186
2	71.138625
4	61.111222
8	105.632714
16	132.098028
32	148.173798
64	173.403081
Threads	Inspector-Executor_Vectorization
1	104.969034
2	57.290903
4	54.643242
8	99.367596
16	117.028714
32	136.878046
64	155.710189
