Threads	Rodinia_Origin
1	0.065423
2	0.047536
4	0.051626
8	0.054586
16	0.039880
32	0.047928
64	0.080192
Threads	Rodinia_SIMD
1	0.041539
2	0.028509
4	0.035867
8	0.053609
16	0.042950
32	0.047674
64	0.056494
Threads	Inspector-Executor_Sequential
1	0.028493
2	0.028994
4	0.034087
8	0.035021
16	0.038537
32	0.045138
64	0.061977
Threads	Inspector-Executor_Vectorization
1	0.031671
2	0.028956
4	0.030677
8	0.035487
16	0.038960
32	0.049878
64	0.059569
