Threads	Rodinia_Origin
1	0.073759
2	0.049333
4	0.054265
8	0.049171
16	0.044639
32	0.052263
64	0.058552
Threads	Rodinia_SIMD
1	0.032421
2	0.028935
4	0.029321
8	0.031815
16	0.037975
32	0.041105
64	0.053377
Threads	Inspector-Executor_Sequential
1	0.029045
2	0.029304
4	0.031076
8	0.035245
16	0.038514
32	0.047264
64	0.061696
