Threads	Rodinia_Origin
1	8.300019
2	4.371851
4	2.560113
8	1.463334
16	0.921530
32	0.636232
64	0.514103
Threads	Rodinia_SIMD
1	8.129559
2	4.251490
4	2.363470
8	1.390402
16	0.841358
32	0.625172
64	0.589520
Threads	Inspector-Executor_Sequential
1	13.343910
2	7.463141
4	7.126628
8	12.189986
16	15.542497
32	17.777073
64	20.522224
Threads	Inspector-Executor_Vectorization
1	9.915268
2	5.584881
4	6.695288
8	12.038801
16	13.882989
32	16.085830
64	18.647090
