Threads	Rodinia_Origin
1	0.087268
2	0.072395
4	0.042556
8	0.053047
16	0.054309
32	0.066222
64	0.082439
Threads	Rodinia_SIMD
1	0.033758
2	0.039211
4	0.034244
8	0.035445
16	0.036464
32	0.038484
64	0.062883
Threads	Inspector-Executor_Sequential
1	0.028681
2	0.030557
4	0.031369
8	0.035332
16	0.040103
32	0.046155
64	0.058767
