Threads Rodinia_Origin
1	0.074628
2	0.051161
4	0.052385
8	0.059410
16	0.068571
32	0.042746
64	0.071235
Threads Rodinia_SIMD
1	0.035894
2	0.032255
4	0.039462
8	0.035447
16	0.036495
32	0.043697
64	0.052574
Threads ins_exe_seq
1	0.029279
2	0.029502
4	0.032067
8	0.041563
16	0.047568
32	0.051116
64	0.058911
