Threads Rodinia_Origin
1	0.048016
2	0.048933
4	0.036356
8	0.050799
16	0.051438
32	0.051287
64	0.056502
Threads Rodinia_SIMD
1	0.029152
2	0.032450
4	0.029777
8	0.035752
16	0.033821
32	0.045766
64	0.058140
Threads ins_exe_seq
1	0.029173
2	0.033618
4	0.034438
8	0.037017
16	0.036075
32	0.044396
64	0.054693
