Threads	Rodinia_Origin
1	8.355469
2	4.347234
4	2.636526
8	1.515702
16	0.991905
32	0.618324
64	0.535975
Threads	Rodinia_SIMD
1	8.183357
2	4.273645
4	2.400040
8	1.337315
16	0.868938
32	0.633532
64	0.531178
Threads	Inspector-Executor_Sequential
1	13.272846
2	7.409331
4	7.499944
8	11.331852
16	15.584830
32	18.623445
64	21.098475
Threads	Inspector-Executor_Vectorization
1	9.889373
2	5.563831
4	6.636841
8	11.530928
16	14.284999
32	16.875873
64	18.205037
