Threads	Rodinia_Origin
1	8.343142
2	4.370899
4	2.577533
8	1.465014
16	0.951828
32	0.613481
64	0.537297
Threads	Rodinia_SIMD
1	8.167090
2	4.290732
4	2.404525
8	1.336762
16	0.861659
32	0.649967
64	0.544074
Threads	Inspector-Executor_Sequential
1	13.268798
2	7.346396
4	7.473795
8	11.952907
16	15.221605
32	18.607093
64	19.839143
