Threads Rodinia_Origin
1	73.265253
2	37.807324
4	20.203020
8	11.324645
16	6.659771
32	4.620217
64	4.094257
Threads Rodinia_SIMD
1	90.118722
2	45.970125
4	23.766890
8	12.910945
16	7.406343
32	4.770924
64	3.938298
Threads ins_exe_seq
1	134.988526
2	104.958819
4	90.170967
8	83.085553
16	79.332852
32	77.388813
64	76.802360
